PMID,NCTID,CombnID,DLT_Name,Grade,Duration,DLT_Exculsion,Comments
27853996,NCT01451632,4,a drug-related toxicity ≥ Grade 3 thatoccurred during cycle 1,>=3,cycle 1,TRUE,NA
27853996,NCT01451632,5,"neutropenia was onlyconsidered a DLT in cases of Grade 4 neutropenia unresponsive to GCSF treatment for >7 days duration,",4,>7 days,NA,NA
27853996,NCT01451632,5,"Grade 3 neutropeniathat was complicated by infection,",3,NA,NA,NA
27853996,NCT01451632,5,Grade 3 febrile neutropenia.,3,NA,NA,NA
27853996,NCT01451632,5,Grade 4 thrombocytopenia,4,NA,NA,NA
27853996,NCT01451632,5,Grade 3 thrombocytopenia associated with bleeding,3,NA,NA,NA
30278378,NCT02020577,7,decrease in cardiac left ventricular function,>=2,NA,NA,NA
30278378,NCT02020577,7,diarrhoea,2,>= 7 days despite supportive treatment,NA,NA
30278378,NCT02020577,7,"diarrhoea, nausea and/or vomitingdespite supportive treatment",>=3,NA,NA,NA
30278378,NCT02020577,7,rash despitestandard medical management,>=3,NA,NA,NA
30278378,NCT02020577,7,fatigue,>=3,>7 days,NA,NA
30278378,NCT02020577,7,hypomagnesaemia,4,NA,NA,NA
30278378,NCT02020577,7,hypomagnesaemia with clinically significant sequelae,3,NA,NA,NA
30278378,NCT02020577,7,all other grade 3 AEs (exceptalopecia and allergic reaction) leading to an interruptionof afatinib and/or cetuximab for >14 days until recoveryto baseline or grade 1,3,> 14 days,TRUE,NA
28280091,NCT00501410,25,NA,NA,NA,NA,Not clearly defined.
32053229,NCT01962792,26,NA,NA,NA,NA,not provided
32053229,NCT01962792,26,NA,NA,NA,NA,NA
28422758,NCT02095054,28,"DLTs were defined as adverse events related to the study agents and included any grade 3 or 4 nonhematologic toxicity (except nausea and vomiting responsive to appropriate regimens, alopecia, or correctable electrolyte imbalances),",>=3,NA,FALSE,NA
28422758,NCT02095054,28,"any grade 4 hematologic toxicity lasting 2 weeks or longer despite supportive care, or any severe or life-threatening complication or abnormality",4,NA,NA,NA
28422758,NCT02095054,28,NA,4,NA,NA,NA
30327312,NCT02350712,30,any patritumab-relatedgrade >=3 hematologic or nonhematologic toxicity,>=3,NA,TRUE,NA
30941307,NCT02429089,31,grade 4 neutropenia lasting more than seven consecutive days,4,NA,NA,NA
30941307,NCT02429089,31,grade 4 thrombocytopenia,4,NA,NA,NA
30941307,NCT02429089,31,grade 3–4 neutropenia with fever,>=3,NA,NA,NA
30941307,NCT02429089,31,"any ribociclib-related grade 3–4 toxicities with the exception of sub-optimally treated nausea/vomiting/diarrhea, or brief (<72 h) grade three fatigue and grade three electrolyte disturbance resolving to grade 1 with 7 days of drug interruption",>=3,NA,FALSE,NA
32545260,NCT02277197,38,"any �>= Grade 3 non-hematologic toxicity (except rash, infusion reaction, nausea, vomiting ordiarrhea lasting < 48 hours, isolated AST or ALT elevation, or asymptomatic electrolyte abnormality)",>=3,NA,NA,NA
32545260,NCT02277197,38,Grade 3 neutropenia with fever,3,NA,NA,NA
