PMID,NCTID,CombnID,Drug_Name,Dose_Level,Dose_Value,Dose_Unit,Frequency,Schedule,Comments
27853996,NCT01451632,4,seribantumab,-1,6,mg/kg,1,weekly,NA
27853996,NCT01451632,4,cetuximab,-1,NA,mg/m2,0,NA,NA
27853996,NCT01451632,4,cetuximab,-1,400,mg/m2,1,loading dose,NA
27853996,NCT01451632,4,cetuximab,-1,200,mg/m2,1,weekly,NA
27853996,NCT01451632,4,seribantumab,1,12,mg/kg,1,weekly,NA
27853996,NCT01451632,4,cetuximab,1,400,mg/m2,1,loading dose,NA
27853996,NCT01451632,4,cetuximab,1,200,mg/m2,1,weekly,NA
27853996,NCT01451632,4,seribantumab,2,20,mg/kg,1,weekly,dose level 2a
27853996,NCT01451632,4,cetuximab,2,400,mg/m2,1,loading dose,dose level 2a
27853996,NCT01451632,4,cetuximab,2,200,mg/m2,1,weekly,dose level 2a
27853996,NCT01451632,4,seribantumab,2.5,12,mg/kg,1,weekly,dose level 2b
27853996,NCT01451632,4,cetuximab,2.5,400,mg/m2,1,loading dose,dose level 2b
27853996,NCT01451632,4,cetuximab,2.5,250,mg/m2,1,weekly,dose level 2b
27853996,NCT01451632,4,seribantumab,3,40,mg/kg,1,loading dose,dose level 3a
27853996,NCT01451632,4,seribantumab,3,20,mg/kg,1,weekly,dose level 3a
27853996,NCT01451632,4,cetuximab,3,400,mg/m2,1,loading dose,dose level 3a
27853996,NCT01451632,4,cetuximab,3,200,mg/m2,1,weekly,dose level 3a
27853996,NCT01451632,4,seribantumab,3.5,20,mg/kg,1,weekly,dose level 3b
27853996,NCT01451632,4,cetuximab,3.5,400,mg/m2,1,loading dose,dose level 3b
27853996,NCT01451632,4,cetuximab,3.5,250,mg/m2,1,weekly,dose level 3b
27853996,NCT01451632,4,seribantumab,4,40,mg/kg,1,loading dose,NA
27853996,NCT01451632,4,seribantumab,4,20,mg/kg,1,weekly,NA
27853996,NCT01451632,4,cetuximab,4,400,mg/m2,1,loading dose,NA
