PMID,NCTID,CombnID,Drug_Name,Admin_Route,Dose_Form,Comments
30278378,NCT02020577,7,afatinib,oral,NA,NA
30278378,NCT02020577,7,cetuximab,i.v.,NA,NA
28280091,NCT00501410,25,folfox6,i.v.,NA,NA
28280091,NCT00501410,25,cetuximab,i.v.,NA,NA
28280091,NCT00501410,25,dasatinib,oral,NA,NA
32053229,NCT01962792,26,carfilzomib,i.v.,NA,NA
32053229,NCT01962792,26,dexamethasone,oral,NA,or iv
32053229,NCT01962792,26,ibrutinib,i.v.,NA,NA
28422758,NCT02095054,28,regorafenib,oral,NA,NA
28422758,NCT02095054,28,cetuximab,i.v.,NA,NA
30327312,NCT02350712,30,patritumab,i.v.,NA,NA
30327312,NCT02350712,30,cetuximab,i.v.,NA,NA
30327312,NCT02350712,30,cisplatin or cisplatin,i.v.,NA,NA
30941307,NCT02429089,31,ribociclib,oral,NA,NA
30941307,NCT02429089,31,cetuximab,i.v.,NA,NA
32545260,NCT02277197,38,ficlatuzumab,i.v.,NA,NA
32545260,NCT02277197,38,cetuximab,i.v.,NA,NA
27311401,NA,42,palbociclib,oral,NA,NA
27311401,NA,42,cetuximab,i.v.,NA,NA
27729313,NCT01787500,45,irinotecan,oral,NA,NA
27729313,NCT01787500,45,cetuximab,i.v.,NA,NA
27729313,NCT01787500,45,vemurafenib,i.v.,NA,NA
34251048,NCT01755975,48,romidepsin,i.v.,NA,NA
34251048,NCT01755975,48,lenalidomide,i.v.,NA,NA
31005227,NA,49,5-fu,i.v.,NA,NA
31005227,NA,49,cisplatin,i.v.,NA,NA
31005227,NA,49,cetuximab,i.v.,NA,NA
32335709,NA,50,carfilzomib,i.v.,NA,"Days 1, 8 and 15 in the 28‐day cycle"
32335709,NA,50,dexamethasone,i.v.,NA,"40 mg on Days 1, 8, 15 and 22 in Cycles 1 to 9 and on Days 1, 8
and 15 thereafter."
28054329,NA,51,k-912/nc-6300,i.v.,NA,NA
32122924,NCT02889523,52,tazemetostat,i.v.,NA,NA
32122924,NCT02889523,52,rituximab,i.v.,NA,rituximab plus CHOP
32122924,NCT02889523,52,prednisolone,oral,NA,rituximab plus CHOP
32122924,NCT02889523,52,doxorubicine,i.v.,NA,rituximab plus CHOP
32122924,NCT02889523,52,cyclophosphamide,i.v.,NA,rituximab plus CHOP
32122924,NCT02889523,52,vincristine,i.v.,NA,rituximab plus CHOP
32381487,NCT03168061,53,"nc-6300
",i.v.,NA,NA
31675535,NCT00856037,54,doxorubicin,i.v.,NA,NA
31675535,NCT00856037,54,topotecan,oral,NA,NA
26903311,NCT00878904,55,panobinostat,NA,NA,NA
26903311,NCT00878904,55,epirubicin,NA,NA,NA
33219014,NCT02779855,56,talimogene laherparepvec,i.v.,NA,NA
33219014,NCT02779855,56,paclitaxel,i.v.,NA,NA
33219014,NCT02779855,56,doxorubicin,i.v.,NA,NA
33219014,NCT02779855,56,cyclophosphamide,i.v.,NA,NA
29856514,NA,57,metformin,i.v.,NA,NA
29856514,NA,57,chemotherapy,i.v.,NA,"vincristine, dexamethasone,
PEG-asparaginase, and doxorubicin"
27403082,NCT00878800,58,belinostat,i.v.,NA,NA
27403082,NCT00878800,58,doxorubicin,i.v.,NA,NA
33093947,EudraCT Number: 2015-003213-18; ISRCTN13626902,59,acp-196,i.v.,NA,NA
33093947,EudraCT Number: 2015-003213-18; ISRCTN13626902,59,r-chop,i.v.,NA,NA
33602316,NCT01839097,60,belinostat,i.v.,NA,NA
33602316,NCT01839097,60,chop therapy,i.v.,NA,NA
29055839,NA,61,dts-201,i.v.,NA,NA
33474828,NCT02677116,62,olaratumab,i.v.,NA,NA
32055930,NCT01145430,63,veliparib,oral,NA,NA
32055930,NCT01145430,63,pegylated liposomal doxorubicin,i.v.,NA,NA
27255289,NA,64,s-1,oral,NA,NA
27255289,NA,64,epirubicin,i.v.,NA,NA
27255289,NA,64,oxaliplatin,i.v.,NA,NA
29174203,NA,65,"pld (pegylated liposomal
doxorubicin)",i.v.,NA,NA
29174203,NA,65,cyclophosphamide,i.v.,NA,NA
27577069,NCT01176799,66,sunitinib,i.v.,NA,NA
27577069,NCT01176799,66,doxorubicin,i.v.,NA,NA
27577069,NCT01176799,66,cyclophosphamide,i.v.,NA,NA
31772119,NCT01902225,67,romidepsin,i.v.,NA,"over 4 hours on days 1, 8, and 15,
following LD"
31772119,NCT01902225,67,liposomal doxorubicin,i.v.,NA,"over 1 hour on day 1 of
each 28-day cycle"
29104762,NCT01655693,68,dt,intra-arterial,NA,NA
28718812,NCT02562378,79,trastuzumab emtansine,i.v.,NA,NA
28718812,NCT02562378,79,non-pegylated liposomal doxorubicin,i.v.,NA,NA
