PMID,NCTID,CombnID,Drug_Name,MTD_Value,MTD_Unit,Frequency,Schedule,Comments
28280091,NCT00501410,25,cetuximab,250,mg/m2,NA,NA,"400 mg/m2 week 1
followed by weekly doses of 250 mg/m2"
28280091,NCT00501410,25,leucovorin,400,mg/m2,NA,q2 weeks,"followed by a 46-hour infusion of 5-FU
(2,400 mg/m2 q2weeks)."
28280091,NCT00501410,25,dasatinib,200,mg,NA,NA,"However, because of high rates of dasatinib dosereduction after 2 weeks, 150 mg was utilized for the expansion
cohort"
30327312,NCT02350712,30,patritumab,9,mg/kg,0,NA,"18 mg/kg
loading dose; 9 mg/kg maintenance dose"
30327312,NCT02350712,30,cetuximab,250,mg/m2,0,NA,"400 mg/m2 loading dose; 250 mg/m2 maintenance
dose"
30327312,NCT02350712,30,cisplatin or cisplatin,100,mg/m2,0,NA,carboplatin (AUC of 5)
30941307,NCT02429089,31,cetuximab,250,mg/m2,NA,NA,"400 mg/m2 was given intravenously on cycle 1 day 1, followed by 250 mg/m2 weekly, as per standard recommendations"
27311401,NA,42,palbociclib,125,mg,NA,NA,"MTD not reached, this is PR2D"
32381487, NCT03168061,53,"nc-6300
",185,mg/m2,0,NA,MTD
32381487, NCT03168061,53,"nc-6300
",150,mg/m2,0,NA,RP2D
29856514,NA,57,metformin,1000,mg/m2,2,NA,mg/m2/day
32055930,NCT01145430,63,veliparib,200,mg,NA,on days 1–14 twice daily (BID),in stratum B
32055930,NCT01145430,63,pegylated liposomal doxorubicin,40,mg/m2,NA,on day 1 of a 28-day cycle,in stratum B
27577069,NCT01176799,66,sunitinib,12.5,mg,NA,NA,RP2D
31772119,NCT01902225,67,romidepsin,12,mg/m2,NA,NA,"over 4 hours on days 1, 8, and 15,
following LD"
31772119,NCT01902225,67,liposomal doxorubicin,20,mg/m2,NA,NA,"over 1 hour on day 1 of
each 28-day cycle"
7664282,NA,2,amifostine,1650,mg/m2,1,NA,RP2D
7664282,NA,2,amifostine,1650,mg/m2,1,NA,RP2D
29500276,NCT01696032,4,carboplatin,0,mg,1,Day 8,AUC4
29500276,NCT01696032,4,carboplatin,0,mg,1,Day 8,AUC4
28881728,ACTRN12610001031055,7,everolimus,10,mg,1,days 5–21 of each 28–day cycle,RP2D
28881728,ACTRN12610001031055,7,everolimus,10,mg,1,days 5–21 of each 28–day cycle,RP2D
26055299,NCT00986804,11,decitabine,10,mg/m2,1,"5 consecutive days every 6 weeks, for up to 8 cycles.",MTD was not established.
24493831,NA,16,onartuzumab,15,mg/kg,1,Q3W,MTD not reach; R2PD
24770667,NCT00633529,18,imo-2055,0.32,mg/kg,1,"on days 1, 8, and 15 of each 3-week treatment cycle",per week dose
24752867,NA,21,cediranib,20,mg,1,day 1-21 of 28-day circle,RP2D
24752867,NA,21,bevacizumab,5,mg/kg,1,every 2 weeks;days 1 and 15,RP2D
32847973,NCT00572078,22,paclitaxel,80,mg/m2,1,QW3 every 4 weeks,fixed dose
32847973,NCT00572078,22,bevacizumab,5,mg/kg,1,every 2 weeks,fixed dose
32847973,NCT00572078,22,sorafenib,200,mg,2,5 days a week,RP2D
33159605,UMIN000006254,23,s-1,40,mg,2,day 1 - 15 of 21-day circle,BSA < 1.25 m2
33159605,UMIN000006254,23,s-1,50,mg,2,day 1 - 15 of 21-day circle,1.25 < BSA < 1.5 m2
33159605,UMIN000006254,23,s-1,60,mg,2,day 1 - 15 of 21-day circle,BSA > 1.5 m2
32522887,NCT02030561,24,nk-cell,10000000,NA,0,NA,RP2D
32490554,UMIN000016094,25,s-1,40,mg,2,"on Monday, Wednesday, Friday, and Sunday",RP2D
32490554,UMIN000016094,25,leucovorin,25,mg,2,NA,RP2D
32490554,UMIN000016094,25,bevacizumab,5,mg/kg,1,every 2 weeks,RP2D
31932108,NCT02055690,28,pazopanib,800,mg,1,every 28 days,RP2D
