PMID,NCTID,CombnID,DLT,Grade,At_Level,Duration,Observed_Frequency,Total,Occurence,Comments,combined_dose_info
27853996,NCT01451632,5,diarrhea,3,1,NA,1,10,NA,NA,"seribantumab (20 mg/kg), cetuximab (400 mg/m2), cetuximab (250 mg/m2), irinotecan (180 mg/m2)"
27853996,NCT01451632,5,mucositis,3,2,NA,1,4,NA,NA,"seribantumab (40 mg/kg), seribantumab (20 mg/kg), cetuximab (400 mg/m2), cetuximab (250 mg/m2), irinotecan (180 mg/m2)"
27853996,NCT01451632,5,neutropenia,3,2,NA,1,4,NA,NA,"seribantumab (40 mg/kg), seribantumab (20 mg/kg), cetuximab (400 mg/m2), cetuximab (250 mg/m2), irinotecan (180 mg/m2)"
28422758,NCT02095054,28,thrombocytopenia,3,2,NA,1,5,NA,NA,"regorafenib (120 mg), cetuximab (200 mg/m2)"
28422758,NCT02095054,28,intra-abdominal bleed,3,2,NA,1,5,NA,NA,"regorafenib (120 mg), cetuximab (200 mg/m2)"
30941307,NCT02429089,31,thrombocytopenia,4,2,NA,1,6,NA,NA,ribociclib (600 mg)
28600476,NCT01482377,43,dehydration grade 3,3,2,NA,1,6,NA,NA,"cetuximab (250 mg/m2), lumretuzumab (800 mg)"
28600476,NCT01482377,44,diarrhea grade 3 and hypokalemia grade 3,3,3,NA,1,7,NA,NA,"erlotinib (150 mg), erlotinib (150 mg), lumretuzumab (1600 mg)"
28600476,NCT01482377,44,blood bilirubin increasedgrade 3,3,4,NA,1,8,NA,NA,"erlotinib (150 mg), erlotinib (150 mg), lumretuzumab (2000 mg)"
27729313,NCT01787500,45,arthralgia,NA,1,NA,1,6,NA,NA,"vemurafenib (480 mg), irinotecan (180 mg/m2), cetuximab (500 mg/m2)"
27729313,NCT01787500,45,diarrhea,NA,2,NA,1,6,NA,NA,"vemurafenib (720 mg), irinotecan (180 mg/m2), cetuximab (500 mg/m2)"
27729313,NCT01787500,45,diarrhea,NA,3,NA,1,7,NA,NA,"vemurafenib (960 mg), irinotecan (180 mg/m2), cetuximab (500 mg/m2)"
34251048,NCT01755975,48,pneumonia,NA,2,NA,1,6,NA,NA,"romidepsin (8 mg/m2), lenalidomide (25 mg)"
34251048,NCT01755975,48,grade three thrombocytopenia,3,4,NA,1,6,NA,NA,"romidepsin (14 mg/m2), lenalidomide (25 mg)"
32335709,NA,50,grade 3 thrombotic microangiopathy,3,1,NA,1,6,NA,NA,"carfilzomib (70 mg/m2), dexamethasone (40 mg)"
28054329,NA,51,Grade 3 febrileneutropenia,3,8,NA,1,2,NA,NA,k-912/nc-6300 (225 mg/m2)
28054329,NA,51,Grade 4 febrile neutropenia,4,8,NA,1,2,NA,NA,k-912/nc-6300 (225 mg/m2)
28054329,NA,51,Febrile neutropenia,NA,7,NA,1,7,NA,NA,k-912/nc-6300 (170 mg/m2)
28054329,NA,51,White blood cell decreased,NA,7,NA,1,7,NA,NA,k-912/nc-6300 (170 mg/m2)
32122924,NCT02889523,52,grade 3 constipation,3,1,NA,1,6,NA,NA,"tazemetostat (400 mg), rituximab (375 mg/m2), prednisolone (40 mg/m2), doxorubicine (50 mg/m2), cyclophosphamide (750 mg/m2), vincristine (1.4 mg/m2)"
