PMID,NCTID,ES,DesignType,schema
26924128,NCT01129349,Escalation,3 + 3,"Patients received escalating doses of oral oprozomib in a 3 + 3design (Supplementary Fig. S1) administered in gelatin capsules once daily (QD) on days 1, 2, 3, 4, and 5 of 14-daycycles. The starting dose was 30 mg, which was escalated in30-mg increments until the MTD was reached. A minimum ofthree patients were treated at each dose level; each level wasexpanded to at least six patients following the observance of adose-limiting toxicity (DLT). "
31164456,NCT02352571,Escalation,3 + 3,adaptive designThe highest dose at which DLT was observed at lower than 33% of probability was the MTD.
31164456,NCT02352571,Escalation,3 + 3,"adaptive design, The highest dose at which DLT was observed at lower than 33% of probability was the MTD."
27853996,NCT01451632,Escalation,3 + 3,"Dose escalation was performed according to a standard3 × 3 trial design and each cohort initially enrolled 3 to 4patients. If a dose limiting toxicity (DLT) was experiencedwithin the first 3 to 4 patients, the cohort was expanded to 6patients. When a DLT was observed in ≥2 patients, the MTDwas determined to have been exceeded and an additional 3patients (up to a total of 6) were treated at the next lowest doselevel. If the additional patients did not experience a DLT, thedose was determined to be safe and was escalated to the nextdose level."
30278378,NCT02020577,Escalation,3 + 3,"An escalated dose of afatinib 40 mg/day plus cetuximab 250 mg/m2/week was planned ifdose-limiting toxicity (DLT) occurred in 0 of 3 or <2 of6 patients treated at the starting dose level. If DLToccurred in >1 of 3 or >1 of 6 patients at the starting dose, a reduced dose level of afatinib 30 mg/day pluscetuximab 200 mg/m2/week was specified. An intermediate dose level of afatinib 40 mg/day plus cetuximab200 mg/m2/week was to be used if DLT occurred in >1of 3 or >1 of 6 patients at the escalated dose."
33577866,NA,Escalation,Adaptive Design,"Dose escalations were driven by a modified TITE-CRM, incorporating accrual suspension according to a waiting scheme. The minimum timing of escalation decision was when patients enrolled ata dose level had been treated for a sum of 21 weeks and 1 patienthad completed the DLT period (11 weeks for Part A and 12 weeksfor Part B). The maximum tolerated dose (MTD) was defined as thehighest dose associated with a target DLT rate of 25% as estimatedby the model and an observed DLT rate <33%. RP2D was to bedetermined when a minimum of 10 and a maximum of 25 patientswere treated at a dose at or below the MTD. The planned samplesize was approximately 70 patients."
34559360,NCT02124148,Escalation,Bayesian,"Dose escalation for each study part was evaluated in parallel dose escalations, driven by a modifed continual reassessment method, using a Bayesian model-based escalation method [27], incorporating prior expectations of thedose-toxicity curve and the observed DLT data from theongoing study into the dose-level determination. For eachcombination, each cohort initially enrolled three patients ata dose level. If one patient experienced a DLT, up to threeadditional patients were enrolled at the same dose level."
22761464,NA,Escalation,Fibonacci schedule,"For dose escalation, 3assessable patients had to complete their first cycle withoutdose-limiting toxicities (DLT; Table 1). When 1 DLT wasseen, an additional 3 assessable patients were accrued, andfurther escalation could occur if no additional DLTs wereseen."
30895346,NA,Escalation,3 + 3,Dose escalation proceeded accordingto the standard 3+3 design
30952640,NCT01246063,Escalation,3 + 3, patients wereenrolled in dose-escalating cohorts using a standard 3 þ 3design. 
