PMID,NCTID,Trial_Type,protocol,population,Trial_Inclusion,Trial_Exclusion,DLT_EVA,comments
30278378,NCT02020577,Combination,No,"The trial is divided in two parts, Part A and Part B. Part A will involve dose-finding of dose-limiting toxicity (DLT) and MTD in patients with advanced solid tumours. Part B will involve expansion of the MTD to 3 cohorts including non-small cell lung cancer squamous histology, recurrent/ metastatic squamous cell carcinoma of head and neck and other advanced solid tumours (except sarcomas).","Inclusion criteria:Part A onlyPatients must have advanced malignant solid tumours that are metastatic or unresectableAt least one measurable or evaluable (non-measurable) lesion per RECIST 1.1 Part B onlyPatients must have:measurable disease per RECIST 1.1diagnosis of one of the followingAdvanced Non-Small Cell Lung Cancer -Squamous Histology (NSCLC-SQ) with no more than 2 lines of chemotherapy for advanced/metastatic disease ( prior EGFR directed treatment is permitted) orRecurrent/Metastatic Squamous Cell Carcinoma of Head and Neck (R/M SCCHN) no more than 2 lines of chemotherapy for advanced disease and no more than 1 line of prior cetuximab permitted.orOther malignant solid tumours except sarcomas (for metastatic colorectal cancer, only wild type KRAS are permitted) Part A and BAge 18 years or olderWritten informed consent that is consistent with ICH-GCP guidelines and local law.Histological/Cytological confirmed diagnosis of malignant solid tumours (exclusion of sarcomas)Advanced disease for whom standard treatment is ineffective or no longer effectiveRecovered from previous therapy related AE to </= Grade 1 at the study entry (except, for stable sensory neuropathy </= Grade 2 and alopecia)Eastern Cooperative Oncology Group (ECOG) performance score 0 or 1.Adequate organ function as defined by the following criteria:LVEF >50% or within institutional valuesAbsolute neutrophil count (ANC) >1500/ mm3Platelet count >75.000/ mm3Estimated creatinine clearance > 45ml/ minTotal bilirubin<1.5 times upper limit of institutional normalAspartate amino transferase (AST) or alanine amino transferase (ALT) <3 x upper limit of institutional normal (ULN) (if related to liver metastases< 5xULN)Patients entering Part A were required to have 1measurable or evaluable (non-measurable) lesion according to Response Evaluation Criteria in Solid Tumours (RECIST), version 1.1. Patients entering Part Bwere required to have measurable disease per RECIST,version 1.1, and diagnosis of advanced squamousNSCLC (2 lines of chemotherapy for advanced disease; prior EGFR-directed treatment permitted), R/MHNSCC (2 lines of chemotherapy for advanced disease; 1 line of cetuximab therapy) or other solid tumours, except sarcomas (for metastatic colorectalcancer, only wild-type KRAS tumours were permitted).","Chemotherapy, biological therapy or investigational agents within 4 weeks prior to the start of study treatment.Hormonal anti-cancer treatment within 2 weeks prior to the start of study treatment (continued use of anti-androgens and/or gonadorelin analogues [LHRH] is permitted)Radiotherapy within 4 weeks prior to the start of study treatment, except as follows:Palliative radiation to target organs other than chest may be allowed up to 2 weeks prior to study treatment, andSingle dose palliative treatment for symptomatic metastasis outside above allowance to be discussed with sponsor prior to enrolling.Major surgery (as judged by the investigator) within 4 weeks before starting study treatment or scheduled for surgery during the projected course of the studyKnown hypersensitivity to afatinib or the excipients of any of the trial drugsHistory or presence of clinically relevant cardiovascular abnormalities such as uncontrolled hypertension, congestive heart failure NYHA classification of 3, unstable angina or poorly controlled arrhythmia as determined by the investigator. Myocardial infarction within 6 months prior start treatment.Female patients of childbearing potential who:are nursing orare pregnant orare not using an acceptable method of birth control or do not plan to continue using this method throughout the study and/or do not agree to submit to pregnancy testing required by this protocol.Any history of or concomitant condition that, in the opinion of the Investigator, would compromise the patient's ability to comply with the study or interfere with the evaluation of the efficacy and safety of the test drugPrevious or concomitant malignancies at other sites, except effectively treated non-melanoma skin cancers, carcinoma in situ of the cervix, ductal carcinoma in situ or effectively treated malignancy that has been in remission for more than 3 years and is considered to be cured.Requiring treatment with any of the prohibited concomitant medications listed in the protocol that can not be stopped for the duration of trial participationKnown pre-existing interstitial lung diseaseAny history or presence of poorly controlled gastrointestinal disorders that could affect the absorption of the study drug (e.g. Crohn's disease, ulcerative colitis, chronic diarrhea, malabsorption)Active hepatitis B infection (defined as presence of HepB sAg and/ or Hep B DNA), active hepatitis C infection (defined as presence of Hep C RNA) and/or known HIV carrier.Prior participation in an afatinib clinical study, even if not assigned to afatinib treatment.Meningeal carcinomatosisPatients with brain or subdural metastases are not eligible, unless they have completed local therapy and have discontinued the use of corticosteroids or have been on stable dose of corticosteroids for at least 4 weeks before starting study treatment. Any symptoms attributed to brain metastases must be stable for at least 4 weeks before starting study treatment.Any SPC listed contra-indications for cetuximabUse of alcohol or drugs incompatible with patient participation in the study in the investigator's opinion.",DLTs were assessed over the first 21-day cycle todetermine the MTD and were also recorded across alltreatment cycles.,NA
28280091,NCT00501410,Combination,No,Patients with MetastaticColorectal Cancer,"Eligible patients were required to have histologically or cytologically confirmed colorectal adenocarcinoma with metastaticdisease documented on diagnostic imaging studies, mass spectroscopy genotyping confirmed KRAS mutation status (exon 1,codon 12, 13), evaluable or measurable disease by ResponseEvaluation Guide for Solid Tumors (RECIST) version 1.0 andEastern Cooperative Oncology Group (ECOG) Performance Status (PS) of 0 or 1. Patients also had to be 18 years of age withadequate hematopoietic, hepatic, and kidney function and a lifeexpectancy  3 months. Each patient must have had previouslyprogressed, either clinically or radiographically, on systemic therapy for mCRC, with no limit on the number of prior regimens.Patients in the phase II cohort must have progressed on fluorouracil (5-FU) or capecitabine and oxaliplatin if KRAS-mutant andeither cetuximab or panitumumab if KRAS wild-type. ","Key exclusion criteria included recent (within 4 weeks of the first infusion ofstudy drugs on this study) or planned participation in anotherexperimental therapeutic drug study; systemic chemotherapy,radiotherapy, or major surgery within 21 days prior to the firstinfusion of study drugs; radiographic evidence of pleural effusionsin the last 30 days prior to enrollment; known brain metastases;known dihydropyrimidine dehydrogenase deficiency; long QTsyndrome; history of clinically significant ventricular arrhythmias;concurrent severe and/or uncontrolledmedical conditions including uncontrolled high blood pressure (140/90), unstable anginaor stable angina markedly limiting ordinary physical activity, NewYork Heart Association (NYHA)  grade 2 congestive heart failure,myocardial infarction within 6 months of study enrollment,history of stroke within 6 months of study enrollment, unstablesymptomatic arrhythmia requiring medication, clinically significant peripheral vascular disease, uncontrolled diabetes, and serious active or uncontrolled infection.",NA,NA
32053229,NCT01962792,Combination,No,patients with RRMM whohad received at least two previous lines of therapy,"Key patient inclusion criteria were age ≥18 years; Eastern Cooperative Oncology Group (ECOG) performance status of 0, 1, or 2; measurable MM with at least two prior lines of therapy includingbortezomib and an IMID and no response or disease progression tothe most recent treatment regimen. Permitted laboratory parametersincluded adequate hematologic function without transfusion orgrowth factor support, including absolute neutrophil count ≥1000/mm3 and platelet counts ≥75 000/mm3, and adequate hepatic andrenal function (including estimated creatinine clearance ≥30 mL/min).","Key exclusion criteria included primary refractory disease defined asnonresponsive in patients who had never achieved a minimalresponse or better with any therapy, recent prior chemotherapy, priortreatment with ibrutinib or any other BTK inhibitor, prior carfilzomibtreatment if patients were refractory or nonresponsive, requirementof strong CYP3A inhibitors or vitamin K antagonists (other anticoagulant and antiplatelet agent use was allowed on study), left ventricularejection fraction <40%, and uncontrolled or symptomatic arrhythmias",not provided,NA
28422758,NCT02095054,Combination,No,advanced cancer patients,"Patients were eligible if they were aged 12 years or older, had evaluable or measurable advanced or metastatic cancer refractory to standard therapies, and had significant organ function reserve, defined as leukocyte count (WBC) greater than or equal to 3,000/ml, absolute neutrophil count (ANC) greater than or equal to 1,000/ml, platelets greater than or equal to 100,000/ml, creatinine less than or equal to 2 times the upper limit of normal (ULN), total bilirubin less than or equal to 2 times ULN, alanine aminotransferase (ALT, formerly serum glutamic pyruvic transaminase [SGPT]) less than or equal to 3 times ULN, and the ECOG performance status less than or equal to 2. For patients with liver metastases, total bilirubin less than or equal to 3 times the ULN, ALT or aspartate aminotransferase (AST, formerly serum glutamic oxaloacetic transaminase [SGOT]) less than or equal to 5 times the ULN were allowed. ","Patients with KRAS-mutated CRC, recent history of major surgery, hemoptysis or uncontrolled bleed, uncontrolled hypertension, clinically significant cardiovascular disease, or untreated or uncontrolled brain metastases were excluded.",during the first cycle of treatment ,NA
30327312,NCT02350712,Combination,No,Recurrent or MetastaticSquamous Cell Carcinoma of the Head and Neck,"Adults (age 18 years) with Eastern Cooperative OncologyGroup (ECOG) performance status of 0 or 1; histologically orcytologically confirmed recurrent disease or metastatic SCCHNoriginating from the oral cavity, oropharynx, hypopharynx, orlarynx; and with adequate hematologic, renal, and hepatic function were eligible for inclusion in this study.Adequate hematologic function was defined as having anabsolute neutrophil count 1.5  109/L, platelet count 100 109/L, and hemoglobin 10 g/dL. Adequate renal function wasdefined as having a calculated creatinine clearance 60 mL/minute. Adequate hepatic function was defined as having anaspartate aminotransferase and alanine aminotransferase2.5  upper limit of normal (ULN; <5  ULN if liver metastasesare present), alkaline phosphatase2.0 ULN (<5 ULN if boneor liver metastases are present), and bilirubin 1.5  ULN.Patients also had prothrombin time or partial thromboplastintime 1.5  ULN. Patients were to comply with the contraceptionrequirements as specified in the study protocol or be of nonchildbearing potential.","Patients were excluded if they had prior anti-EGFR, anti-HER2,anti-HER3, or anti-HER4 targeted therapy, prior treatment forrecurrent and/or metastatic disease, history of other malignancies,except adequately treated nonmelanoma skin cancer, curativelytreated in situ disease, or other solid tumors curatively treated withno evidence of disease for 5 years, history of active brainmetastases, left ventricular ejection fraction <50%, or uncontrolled hypertension (systolic blood pressure >160 mm Hg ordiastolic blood pressure >100 mm Hg).",the DLT observation period (days 1–21),NA
30941307,NCT02429089,Combination,No,Recurrent/Metastatic p16-Negative Squamous Cell Carcinoma of the Head and Neck,Eligible patients had to have R/M HPV-negative SCCHN not amenable to curative treatment with surgery and/or chemotherapy and/or radiation; progressive disease (PD) within 1 year of first-line platinum-based chemotherapy given either as part of multimodal curative treatment or in the palliative setting; Eastern Cooperative Oncology Group performance status (ECOG PS) 0–1; at least one measurable lesion according to the Response Evaluation Criteria in Solid Tumors 1.1 (RECIST); and the ability to swallow ribociclib tablets. Previous treatment with cetuximab was allowed either in the metastatic or curative setting (with radiation). ,"Patients needed to have adequate organ function, absolute neutrophil count (ANC) >1,500/mm3, hemoglobin ≥9 g/dl, platelet count >100,000/mm3, serum creatinine ≤1.5 the upper limit of normal (ULN), total bilirubin ≤1 ULN, and alanine aminotransferase (ALAT) and aspartate aminotransferase (ASAT) <1.5 ULN. HPV-negative tumor was defined by the absence of p16INK4A staining.",DLTs were evaluated during cycle 1 (4 weeks) ,NA
32545260,NCT02277197,Combination,No,"Cetuximab-Resistant, Recurrent/Metastatic Headand Neck Cancer","Primary inclusion criteria included recurrent/metastatic HNSCC from any primarysite (except for Epstein–Barr virus-positive nasopharynx); known HPV status in the case of anoropharynx primary site as determined by p16 immunohistochemistry; measurable disease inaccordance with the Response Evaluation Criteria in Solid Tumors (RECIST) version 1.1 ; age ≥ 18;Eastern Cooperative Oncology Group (ECOG) performance status 0–1; adequate end organ function andelectrolytes; albumin ≥ 3 mg/dL; willingness to undergo baseline research biopsy. Clinical cetuximabresistance was required during cohort expansion, and was defined as either disease recurrence within6 months of completing definitive cetuximab-radiation therapy or disease progression during or within6 months of cetuximab in the recurrent/metastatic setting . Cetuximab was not required to be themost recent systemic therapy received.",Primary exclusion criteria included prior treatment with anHGF/cMet inhibitor; peripheral edema ≥ Grade 2; interstitial lung disease; any medical comorbiditythat would interfere with the subject’s safety or compliance.,the first cycle (4 weeks),NA
27311401,NA,Combination,No,in patientswith recurrent/metastatic head and neck squamous cell carcinoma,"Eligibility required RM HNSCC, defined as distant metastases orunresectable, previously irradiated local/regional recurrence. Priorcetuximab or platin for RM disease was allowed. Prior cytotoxicchemotherapy for RM disease was not required because somepatients are poor candidates for or decline such therapy. Patientswere P18 years, had Eastern Cooperative Oncology Group performance status of 62, adequate marrow/organ function (absoluteneutrophil count P1500/mm3, platelet count P100,000/mm3, creatinine and bilirubin <1.5 upper limits of normal [ULN], andaspartate transaminase, alanine transaminase, and alkaline phosphatase <2.5 ULN), and QTc < 480 ms",Exclusion criteria included inability to swallowand concurrent use of CYP3A4 inhibitors/inducers,. DLT and MTD were assessed during cycle one,NA
27729313,NCT01787500,Combination,No,in Patients with Metastatic Colorectal Cancer with BRAFV600E Mutation,"including metastatic colorectal cancer, with BRAFV600E mutation and KRAS wild-type at codons 12 and 13 as confi rmed with tissue biopsy in a CLIA-certifi ed laboratory. For most patients, screening for BRAF and KRAS mutations was performed using NGS at a minimum of 250x, with additional profi ling for genes including NRAS, PIK3CA, AKT , and TP53 . Prior exposure to irinotecan and to anti-EGFR therapies was allowed, as was prior treatment with a BRAF inhibitor or MEK inhibitor. Additional eligibility criteria were Eastern Cooperative Oncology Group performance status of 0 to 2, normal organ and bone marrow function, and life expectancy greater than 3 months",NA,were used to assess for dose-limiting toxic effects during the fi rst 28 days and for new and ongoing adverse events until 30 days after the last dose of study treatment ,NA
34251048,NCT01755975,Combination,No,required to have histologically confirmedrelapsed/refractory non-Hodgkin lymphoma or Hodgkin lymphomaafter at least one prior systemic therapy,"For both studies, patientswere required to be at least 18 years old; have ECOG performancestatus ≤2 and those in the expansion cohort had measurable disease.Prior romidepsin, lenalidomide, or carfilzomib exposure was not exclusionary unless patients discontinued these agents due to toxicit absoluteneutrophil count of greater than 1000/μl, total bilirubin ≤1.5 timesupper institutional limit of normal (ULN), AST/ALT ≤3 times ULN(or five times ULN if liver involvement) and creatinine clearance of≥50 ml/min in the phase I portion. Entry criteria that differedbetween studies included: creatinine clearance in the cohort expansion portion (≥30 ml/min for regimen A, ≥40 ml/min for regimen B);platelet count (≥70 000/μl for regimen A, ≥80 000/μl for regimen B).In both studies, patients with platelet counts >50 000/μl were permitted if thrombocytopenia was due to bone marrow involvementby lymphoma.",NA,Dose limiting toxicities (DLT)were defined in cycle one,NA
